"","school","athlete","class"
"144","DePaul","Daniel Grauer","FR"
"145","Ill State","Kane Shields","JR"
"146","Ill State","Will Gelon","SO"
"147","Kansas State","Brock Olsen","FR"
"148","South Dakota","Mason Sindelar","SR"
"149","Drake","Xander Kwa","FR"
"150","Western Illinois","Robert Perry","SR"
"151","St. Thomas","Casey Poppler","FR"
"152","St. Thomas","Max Westerlund","JR"
"153","South Dakota State","Brandon Kampsen","SO"
"154","Drake","Daghyn True","FR"
"155","Northern Iowa","Micah Rees","SO"
"156","North Dakota","Aleksa Milanovic","JR"
"157","Southern Illinois","Brady Faulkner","FR"
"158","Ill State","Luke Barham","SO"
"159","St. Thomas","Adam Lueth","JR"
"160","Ill State","Logan Scott","FR"
"161","Saint Louis","Manny Vela","SO"
"162","Saint Louis","Alekandr Acuna","FR"
"163","St. Thomas","Joe McNeil","JR"
"164","Illinois","Jackson Barrett","FR"
"165","South Dakota","Tommy Hensley","FR"
"166","St. Thomas","Nate Meyer","FR"
"167","South Dakota","Riley Ruhaak","SR"
"168","Creighton","Lucas Bossinger","SO"
"169","Iowa","Luke Knepp","SO"
"170","Saint Louis","Brady Huggins","JR"
"171","Creighton","Sam Berlinghof","SO"
"172","Saint Louis","Ronnie Brown","FR"
"173","Creighton","Dominic Ricci","JR"
"174","Saint Louis","Lukasz Iwanowski","SR"
"175","Southern Illinois","Calen George","FR"
"176","SIU Edwardsville","Tanner Emerson","SO"
"177","Illinois","Trey Sato","FR"
"178","Eastern Illinois","Tyler Dillon","SO"
"179","Eastern Illinois","Aidan Gonzalez","SR"
"180","Kansas State","Canyon Buehler","FR"
"181","Kansas State","Julian Avila","SR"
"182","North Dakota","Henrik Lindstrot","SO"
"183","Illinois","Brady Masters","SR"
"184","St. Thomas","Isaac Nowack","JR"
"185","Eastern Illinois","Jiberil Lesman","FR"
"186","Southern Illinois","Will Foltz","SO"
"187","St. Thomas","Ethan Foote","SO"
"188","Nebraska","Kaleb Sharp","SO"
"189","Western Illinois","Logan Beckmier","JR"
"190","Northern Iowa","Drew Dombrosky","JR"
"191","SE Missouri","Jacob Blassingame","SR"
"192","SE Missouri","Myles Thornburg","SO"
"193","SIU Edwardsville","Aaron Conderman","FR"
"194","Northern Iowa","Ethan Olds","FR"
"195","Northern Iowa","Ty Getz","SO"
"196","Northern Iowa","Jonas VanDis","FR"
"197","Oral Roberts","Jarrett Ketchmark","SR"
"198","Northern Iowa","Caleb Kass","JR"
"199","DePaul","Jack Hopkins","FR"
"200","North Dakota State","Austin Wanner","SO"
"201","Western Illinois","Eason Comer","SO"
"202","Saint Louis","Aidan Murphy","FR"
"203","Western Illinois","Brody Harker","FR"
"204","SE Missouri","Clayton Eftink","SO"
"205","Ill-Chicago","Nolan Rogers","JR"
"206","Chicago State","Dean Solomon","FR"
"207","Western Illinois","Evan Eberhart","FR"
"208","Nebraska","Riley Boonstra","SO"
"209","Lindenwood","Eliezer Santiago","FR"
"210","Chicago State","Jason Artege","FR"
"211","Chicago State","Jacob Draaisma","FR"
"212","Northern Iowa","Colin Lillie","SO"
